C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Jean-Gabriel Pageau (6197348),Jean-Gabriel Pageau,6197348,3800,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,C,Elias Lindholm (6197329),Elias Lindholm,6197329,3800,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Ales Hemsky (6197515),Ales Hemsky,6197515,3700,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,C,Travis Zajac (6197291),Travis Zajac,6197291,3700,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,LW,Clarke MacArthur (6197431),Clarke MacArthur,6197431,3700,Buf@Ott 07:30PM ET,Ott,
,,,,,,,,,,LW,Jamie McGinn (6197433),Jamie McGinn,6197433,3700,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,D,Ryan Murray (6197591),Ryan Murray,6197591,3700,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,D,Jaccob Slavin (6197575),Jaccob Slavin,6197575,3700,Wpg@Car 07:00PM ET,Car,
,,,,,,,,,,C,Alexander Wennberg (6197340),Alexander Wennberg,6197340,3700,Bos@Cls 07:00PM ET,Cls,
,,,,,,,,,,RW,Brian Gionta (6197498),Brian Gionta,6197498,3600,Buf@Ott 07:30PM ET,Buf,
,,,,,,,,,,D,Jay Bouwmeester (6197626),Jay Bouwmeester,6197626,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,Dennis Seidenberg (6197579),Dennis Seidenberg,6197579,3600,Bos@Cls 07:00PM ET,Bos,
,,,,,,,,,,C,Valtteri Filppula (6197356),Valtteri Filppula,6197356,3600,SJ@TB 07:30PM ET,TB,
,,,,,,,,,,RW,Troy Brouwer (6197517),Troy Brouwer,6197517,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,C,Patrik Berglund (6197371),Patrik Berglund,6197371,3600,Dal@StL 08:00PM ET,StL,
,,,,,,,,,,D,David Schlemko (6197536),David Schlemko,6197536,3600,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,C,Cody Eakin (6197375),Cody Eakin,6197375,3600,Dal@StL 08:00PM ET,Dal,
,,,,,,,,,,RW,Tommy Wingels (6197509),Tommy Wingels,6197509,3600,SJ@TB 07:30PM ET,SJ,
,,,,,,,,,,RW,Matt Read (6197470),Matt Read,6197470,3600,Phi@NJ 07:00PM ET,Phi,
,,,,,,,,,,RW,Nail Yakupov (6197531),Nail Yakupov,6197531,3600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,D,Justin Schultz (6197657),Justin Schultz,6197657,3600,Anh@Edm 09:00PM ET,Edm,
,,,,,,,,,,C,Patrik Elias (6197289),Patrik Elias,6197289,3500,Phi@NJ 07:00PM ET,NJ,
,,,,,,,,,,D,Johnny Oduya (6197628),Johnny Oduya,6197628,3500,Dal@StL 08:00PM ET,Dal,
