PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG,J.J. Barea (6123641),J.J. Barea,6123641,4200,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SG,Gerald Green (6123651),Gerald Green,6123651,4200,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SF,Wesley Johnson (6123705),Wesley Johnson,6123705,4200,Chi@LAC 03:30PM ET,LAC,
,,,,,,,,,SF,Mirza Teletovic (6123724),Mirza Teletovic,6123724,4200,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,SG,Raymond Felton (6123680),Raymond Felton,6123680,4100,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,PG,Jose Calderon (6123635),Jose Calderon,6123635,4100,GS@NY 07:30PM ET,NY,
,,,,,,,,,PF,Jon Leuer (6123770),Jon Leuer,6123770,4100,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PF,Ed Davis (6123775),Ed Davis,6123775,4100,Min@Por 09:00PM ET,Por,
,,,,,,,,,SG,Allen Crabbe (6123691),Allen Crabbe,6123691,4100,Min@Por 09:00PM ET,Por,
,,,,,,,,,PG,Aaron Brooks (6123623),Aaron Brooks,6123623,4000,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,C,Roy Hibbert (6123787),Roy Hibbert,6123787,4000,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,C,Meyers Leonard (6123815),Meyers Leonard,6123815,4000,Min@Por 09:00PM ET,Por,
,,,,,,,,,C,Frank Kaminsky (6123792),Frank Kaminsky,6123792,4000,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SF,T.J. Warren (6123725),T.J. Warren,6123725,4000,Pho@Dal 07:00PM ET,Pho,
,,,,,,,,,PF,Brandon Bass (6123741),Brandon Bass,6123741,3900,Cha@LAL 09:30PM ET,LAL,
,,,,,,,,,SF,Thabo Sefolosha (6123694),Thabo Sefolosha,6123694,3900,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,PF,Bobby Portis (6123752),Bobby Portis,6123752,3900,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,SF,Paul Pierce (6123703),Paul Pierce,6123703,3800,Chi@LAC 03:30PM ET,LAC,
