Player,Team,Min,Pts, Reb,Ast,Stl,FP,Cost,Value
Tyler Zeller (FC- BOS),TOR,6.1,2.7,1.6,0.2,0.1,5.02,$3500,1.43
Justin Holiday (GF- ATL),POR,8.5,2.1,1,0.5,0.4,4.65,$3500,1.33
Kyle Singler (GF- OKC),CHA,9,2.1,1.1,0.4,0.3,4.52,$3500,1.29
Carl Landry (F- PHI),ORL,4.8,2.5,1,0.2,0.1,4.2,$3500,1.2
Andrew Nicholson (PF- ORL),PHI,5.3,2.2,1.3,0.1,0.1,4.01,$3500,1.15
Tony Snell (GF- CHI),GS,7.2,2.0,1.2,0.3,0.1,3.99,$3500,1.14
Tim Frazier (PG- POR),ATL,6.8,1.5,0.7,1.2,0.2,3.94,$3500,1.13
Nick Young (GF- LAL),SAC,5.8,2.3,0.6,0.3,0.1,3.67,$3500,1.05
K.J. McDaniels (SF- HOU),DET,4.6,1.7,1,0.1,0.2,3.65,$3500,1.04
Brian Roberts (G- CHA),OKC,5,1.6,0.6,0.7,0.2,3.47,$3500,0.99
Cristiano Felicio (C- CHI),GS,4.1,1.5,0.8,0.4,0.1,3.46,$3500,0.99
James Anderson (GF- SAC),LAL,7.4,2.0,0.8,0.3,0.2,3.41,$3500,0.97
Metta World Peace (F- LAL),SAC,5.3,1.6,0.8,0.3,0.2,3.41,$3500,0.97
Richard Jefferson (GF- CLE),BKN,6.2,1.8,0.5,0.3,0.2,3.25,$3500,0.93
Charlie Villanueva (PF- DAL),MIN,3.7,1.8,0.8,0.1,0.1,3.21,$3500,0.92
Nemanja Bjelica (PF- MIN),DAL,5.1,1.3,0.9,0.3,0.1,3.03,$3500,0.87
Jason Terry (G- HOU),DET,5.2,1.7,0.4,0.4,0.2,2.98,$3500,0.85
Kendall Marshall (PG- PHI),ORL,5,1.4,0.4,0.9,0.1,2.83,$3500,0.81
Steve Blake (G- DET),HOU,4.3,1.2,0.5,0.8,0.1,2.8,$3500,0.8
Troy Daniels (PG- CHA),OKC,4.7,1.8,0.5,0.2,0.1,2.7,$3500,0.77
Phil Pressey (PG- PHI),ORL,3.1,1.0,0.3,0.7,0.2,2.51,$3500,0.72
Jason Smith (FC- ORL),PHI,3.2,1.3,0.7,0.1,0.1,2.49,$3500,0.71
Marcelo Huertas (PG- LAL),SAC,3.8,1.0,0.4,0.7,0.1,2.43,$3500,0.69
Joel Anthony (FC- DET),HOU,2.9,0.8,0.8,0.1,0.1,2.41,$3500,0.69
Chris Kaman (FC- POR),ATL,3.2,1.0,0.7,0.2,0.1,2.34,$3500,0.67
Brandon Rush (SG- GS),CHI,3.4,1.1,0.6,0.2,0.1,2.22,$3500,0.63
Kevin Seraphin (FC- NY),UTAH,2.6,0.8,0.6,0.1,0.1,2.07,$3500,0.59
Richaun Holmes (PF- PHI),ORL,2.5,1.0,0.5,0.1,0.1,2.05,$3600,0.57
Dewayne Dedmon (C- ORL),PHI,2.6,0.7,0.7,0.0,0.1,2.04,$3500,0.58
E'Twaun Moore (G- CHI),GS,3.9,1.2,0.4,0.2,0.1,1.98,$3500,0.57
Shabazz Napier (PG- ORL),PHI,2.9,0.9,0.2,0.5,0.1,1.89,$3500,0.54
Pat Connaughton (GF- POR),ATL,3.4,1.0,0.6,0.1,0.1,1.87,$3500,0.53
Mike Muscala (FC- ATL),POR,2.3,0.7,0.6,0.1,0.1,1.87,$3500,0.53
D.J. Augustin (PG- OKC),CHA,3.1,0.8,0.3,0.4,0.1,1.76,$3500,0.5
Elijah Millsap (GF- UTAH),NY,2.6,0.6,0.4,0.2,0.1,1.68,$3500,0.48
Sasha Vujacic (SG- NY),UTAH,3.1,0.7,0.4,0.3,0.1,1.63,$3500,0.47
Christian Wood (FC- PHI),ORL,1.9,0.7,0.4,0.1,0.1,1.63,$3500,0.47
Tim Hardaway Jr. (SG- ATL),POR,3.2,0.9,0.2,0.2,0.1,1.54,$3500,0.44
Shelvin Mack (PG- ATL),POR,1.7,0.8,0.1,0.3,0.1,1.47,$3500,0.42
Chris Johnson (F- UTAH),NY,2.6,0.6,0.4,0.1,0.1,1.33,$3500,0.38
Caron Butler (SF- SAC),LAL,2.1,0.6,0.3,0.1,0.1,1.21,$3500,0.35
Markel Brown (SG- BKN),CLE,2,0.5,0.2,0.2,0.1,1.14,$3500,0.33
Montrezl Harrell (PF- HOU),DET,1.8,0.6,0.4,0.1,0.0,1.13,$3500,0.32
James Jones (GF- CLE),BKN,1.8,0.7,0.2,0.1,0.0,1.09,$3500,0.31
Adreian Payne (PF- MIN),DAL,1.7,0.5,0.4,0.1,0.0,1.03,$3500,0.29
