Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
94,349520861,CZYX (40/50),0,293,PG Stephen Curry SG Kentavious Caldwell-Pope SF Marcus Morris PF Serge Ibaka C Enes Kanter F Draymond Green G Michael Carter-Williams UTIL Steven Adams
94,349522417,vision9,0,293,PG Michael Carter-Williams SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Andre Iguodala G Stephen Curry UTIL Randy Foye
94,349523383,klemdog13,0,293,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Jabari Parker C Steven Adams F Serge Ibaka G Kentavious Caldwell-Pope UTIL Andre Iguodala
94,349530566,JoSquared,0,293,PG Michael Carter-Williams SG Andre Roberson SF Andre Iguodala PF Serge Ibaka C Steven Adams F Marcus Morris G Stephen Curry UTIL Russell Westbrook
103,349510863,JWatDaBiznesBe (12/16),0,292.75,PG Stephen Curry SG Khris Middleton SF Harrison Barnes PF Serge Ibaka C Steven Adams F Marcus Morris G Klay Thompson UTIL Andre Iguodala
103,349518726,JWatDaBiznesBe (15/16),0,292.75,PG Stephen Curry SG Khris Middleton SF Harrison Barnes PF Serge Ibaka C Steven Adams F Marcus Morris G Klay Thompson UTIL Andre Iguodala
103,349520302,vandeurzap24,0,292.75,PG Stephen Curry SG Kentavious Caldwell-Pope SF Marcus Morris PF Jabari Parker C Miles Plumlee F Serge Ibaka G O.J. Mayo UTIL Draymond Green
103,349530568,rdcantrell,0,292.75,PG Russell Westbrook SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Enes Kanter F Reggie Bullock G Reggie Jackson UTIL Miles Plumlee
107,349506168,romo262,0,292.5,PG Russell Westbrook SG Darrun Hilliard SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Tobias Harris G Khris Middleton UTIL Shaun Livingston
107,349513862,jaybone776,0,292.5,PG Stephen Curry SG Dion Waiters SF Kevin Durant PF Serge Ibaka C Enes Kanter F Andre Iguodala G Reggie Jackson UTIL Miles Plumlee
107,349520870,CZYX (49/50),0,292.5,PG Michael Carter-Williams SG Klay Thompson SF Tobias Harris PF Serge Ibaka C Andre Drummond F Marcus Morris G Khris Middleton UTIL Steven Adams
107,349538366,mrmadgabs,0,292.5,PG Stephen Curry SG Khris Middleton SF Tobias Harris PF Draymond Green C Miles Plumlee F Andre Iguodala G Kentavious Caldwell-Pope UTIL Steven Adams
111,349538186,andy1h2004 (2/2),0,292.25,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Enes Kanter F Reggie Bullock G Dion Waiters UTIL Andre Drummond
112,349511814,rolltide1126 (4/4),0,291.75,PG Stephen Curry SG O.J. Mayo SF Andre Iguodala PF Draymond Green C Andrew Bogut F Marcus Morris G Reggie Jackson UTIL Serge Ibaka
113,349494292,wizaruk,0,291.5,PG Michael Carter-Williams SG Klay Thompson SF Kevin Durant PF Draymond Green C Anderson Varejao F Marcus Morris G O.J. Mayo UTIL Serge Ibaka
113,349511880,kingkamanthony (2/4),0,291.5,PG Stephen Curry SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Andre Iguodala G O.J. Mayo UTIL Andrew Bogut
113,349513413,Twenty_7,0,291.5,PG Stephen Curry SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Miles Plumlee F Andre Iguodala G O.J. Mayo UTIL Andrew Bogut
113,349520763,jnorred,0,291.5,PG Stephen Curry SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Andrew Bogut F Andre Iguodala G O.J. Mayo UTIL Miles Plumlee
113,349530066,jnelly1003,0,291.5,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Draymond Green C Miles Plumlee F Tobias Harris G O.J. Mayo UTIL Andre Iguodala
118,349512917,beagleotis,0,291.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Marcus Morris PF Draymond Green C Enes Kanter F Andre Iguodala G Michael Carter-Williams UTIL Serge Ibaka
119,349512951,sidleipsic,0,291,PG Steve Blake SG Darrun Hilliard SF Kevin Durant PF Serge Ibaka C Aron Baynes F Reggie Bullock G Stephen Curry UTIL Russell Westbrook
120,349501168,tonyzanotti (2/2),0,290.75,PG Stephen Curry SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Steven Adams F Marcus Morris G Leandro Barbosa UTIL Michael Carter-Williams
120,349501941,hoaglanr (30/50),0,290.75,PG Reggie Jackson SG Kentavious Caldwell-Pope SF Tobias Harris PF Draymond Green C Miles Plumlee F Kevin Durant G O.J. Mayo UTIL Marcus Morris
120,349514092,steve9675 (2/3),0,290.75,PG Stephen Curry SG Dion Waiters SF Kevin Durant PF Serge Ibaka C Steven Adams F Tobias Harris G Kentavious Caldwell-Pope UTIL Miles Plumlee
123,349496037,LetsGetItt313,0,290.5,PG Stephen Curry SG Klay Thompson SF Andre Iguodala PF Draymond Green C Andrew Bogut F Serge Ibaka G Michael Carter-Williams UTIL Miles Plumlee
123,349530840,Pinkman187 (23/50),0,290.5,PG Stephen Curry SG O.J. Mayo SF Giannis Antetokounmpo PF Serge Ibaka C Miles Plumlee F Draymond Green G Michael Carter-Williams UTIL Steven Adams
125,349505534,cdodson50 (1/3),0,290.25,PG Shaun Livingston SG Khris Middleton SF Kevin Durant PF Draymond Green C Anderson Varejao F Andre Iguodala G Stephen Curry UTIL Marreese Speights
125,349507194,Bell31 (1/2),0,290.25,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Klay Thompson UTIL Cameron Payne
125,349507857,addycb (1/3),0,290.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Michael Carter-Williams UTIL O.J. Mayo
125,349520862,CZYX (41/50),0,290.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Andre Iguodala G Reggie Jackson UTIL Steven Adams
125,349521594,hawkman74,0,290.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Andre Iguodala G Reggie Jackson UTIL Steven Adams
125,349522134,PBGM21 (6/10),0,290.25,PG Reggie Jackson SG Khris Middleton SF Kevin Durant PF Serge Ibaka C Greg Monroe F Tobias Harris G Shaun Livingston UTIL Miles Plumlee
125,349523103,MunySquad (6/9),0,290.25,PG Stephen Curry SG Kentavious Caldwell-Pope SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Andre Iguodala G Reggie Jackson UTIL Steven Adams
125,349530684,Bjoh7196 (5/6),0,290.25,PG Shaun Livingston SG Andre Roberson SF Tobias Harris PF Serge Ibaka C Greg Monroe F Marcus Morris G Stephen Curry UTIL Andre Drummond
125,349530694,Bjoh7196 (6/6),0,290.25,PG Shaun Livingston SG Andre Roberson SF Tobias Harris PF Serge Ibaka C Greg Monroe F Marcus Morris G Stephen Curry UTIL Andre Drummond
134,349500975,corey3471,0,290,PG Reggie Jackson SG Khris Middleton SF Tobias Harris PF Serge Ibaka C Marreese Speights F Draymond Green G Klay Thompson UTIL Enes Kanter
134,349514449,onjgame (3/7),0,290,PG Michael Carter-Williams SG Khris Middleton SF Giannis Antetokounmpo PF Serge Ibaka C Miles Plumlee F Marcus Morris G Reggie Jackson UTIL Andre Drummond
136,349507554,Ping_Flyer,0,289.75,PG Reggie Jackson SG O.J. Mayo SF Kevin Durant PF Draymond Green C Andre Drummond F Andre Iguodala G Shaun Livingston UTIL Enes Kanter
136,349530846,Pinkman187 (29/50),0,289.75,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Serge Ibaka C Miles Plumlee F Giannis Antetokounmpo G Michael Carter-Williams UTIL Steven Adams
138,349513666,JackRabbitZero (32/50),0,289.5,PG Stephen Curry SG Khris Middleton SF Marcus Morris PF Draymond Green C Aron Baynes F Giannis Antetokounmpo G Andre Roberson UTIL Miles Plumlee
138,349520829,CZYX (8/50),0,289.5,PG Russell Westbrook SG Klay Thompson SF Harrison Barnes PF Serge Ibaka C Andre Drummond F Marcus Morris G Andre Roberson UTIL Steven Adams
138,349530792,Vangtriloquist7,0,289.5,PG Stephen Curry SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Enes Kanter F Marcus Morris G Michael Carter-Williams UTIL Miles Plumlee
138,349531526,mbates23 (4/4),0,289.5,PG Michael Carter-Williams SG O.J. Mayo SF Kevin Durant PF Serge Ibaka C Enes Kanter F Marcus Morris G Stephen Curry UTIL Miles Plumlee
142,349494850,elguapo92 (2/3),0,289.25,PG Russell Westbrook SG Klay Thompson SF Kevin Durant PF Serge Ibaka C Steven Adams F Andre Iguodala G Steve Blake UTIL O.J. Mayo
