C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Ryan McDonagh (6180786),Ryan McDonagh,6180786,5200,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Jake Muzzin (6180791),Jake Muzzin,6180791,5200,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Tyler Johnson (6180611),Tyler Johnson,6180611,5200,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,C,Tomas Plekanec (6180549),Tomas Plekanec,6180549,5100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,D,Anton Stralman (6180830),Anton Stralman,6180830,5100,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,C,Vincent Trocheck (6180627),Vincent Trocheck,6180627,5000,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Eric Staal (6180574),Eric Staal,6180574,4900,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,D,Mike Green (6180813),Mike Green,6180813,4900,Col@Det 07:30PM ET,Det,
,,,,,,,,,,D,Keith Yandle (6180784),Keith Yandle,6180784,4900,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,C,Carl Soderberg (6180590),Carl Soderberg,6180590,4900,Col@Det 07:30PM ET,Col,
,,,,,,,,,,LW,Tomas Tatar (6180685),Tomas Tatar,6180685,4900,Col@Det 07:30PM ET,Det,
,,,,,,,,,,RW,Reilly Smith (6180755),Reilly Smith,6180755,4900,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,D,Aaron Ekblad (6180856),Aaron Ekblad,6180856,4900,StL@Fla 07:30PM ET,Fla,
,,,,,,,,,,C,Paul Stastny (6180622),Paul Stastny,6180622,4800,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,C,Derek Stepan (6180568),Derek Stepan,6180568,4800,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Dougie Hamilton (6180869),Dougie Hamilton,6180869,4800,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,RW,Marian Gaborik (6180718),Marian Gaborik,6180718,4700,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,LW,Chris Kunitz (6180669),Chris Kunitz,6180669,4700,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,LW,Jeff Skinner (6180672),Jeff Skinner,6180672,4700,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Gustav Nyquist (6180735),Gustav Nyquist,6180735,4700,Col@Det 07:30PM ET,Det,
,,,,,,,,,,C,David Backes (6180620),David Backes,6180620,4600,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,LW,Milan Lucic (6180661),Milan Lucic,6180661,4600,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,LW,Justin Abdelkader (6180684),Justin Abdelkader,6180684,4600,Col@Det 07:30PM ET,Det,
,,,,,,,,,,D,Alec Martinez (6180787),Alec Martinez,6180787,4600,LA@NYR 07:00PM ET,LA,
